latitude (dec.degrees),longitude (dec.degrees),adam_naam,norel,hhi,minecorop
52.009,4.537,Bleiswijk,0.05787037,0.396207044,Groot-Rijnmond
52.217,5.483,Nijkerk,0.058656123,0.70029709,Veluwe
52.407,6.782,Tubbergen,0.060468632,0.83706087,Twente
51.963,5.036,Lexmond,0.060753341,0.820873791,Zuidoost-Zuid-Holland
51.889,5.607,Druten,0.061106019,0.826386724,Arnhem/Nijmegen
52.25,6.285,Bathmen,0.061614295,0.918779391,Zuidwest-Overijssel
51.77,4.07,Melissant,0.063131313,0.616909608,Groot-Rijnmond
51.974,4.95,Lopik,0.063211125,0.371321604,Utrecht
52.352,6.855,Weerselo,0.063344595,0.891197422,Twente
52.561,4.731,Akersloot,0.063532402,0.478179337,IJmond
51.387,5.211,Bladel en Netersel,0.064226076,0.876043312,Zuidoost-Noord-Brabant
51.683,5.133,Drunen,0.068870523,0.923449737,Noordoost-Noord-Brabant
51.364,5.166,Reusel,0.069396253,0.993079668,Zuidoost-Noord-Brabant
52.375,7.005,Denekamp,0.069816151,0.747821236,Twente
52.042,6.617,Groenlo,0.071418369,0.82529566,Achterhoek
51.596,6.009,Vierlingsbeek,0.071479628,0.942604497,Noordoost-Noord-Brabant
51.486,5.136,Hilvarenbeek,0.071684588,0.925620974,Midden-Noord-Brabant
52.067,5.201,Bunnik,0.07183908,0.472530869,Utrecht
51.691,4.213,Oude Tonge,0.072463768,0.58767007,Groot-Rijnmond
51.422,5.557,Geldrop,0.072542619,0.956556665,Zuidoost-Noord-Brabant
50.834,5.982,Simpelveld,0.074626866,0.982197487,Zuid-Limburg
52.407,6.897,Ootmarsum,0.077639752,0.725902863,Twente
51.367,4.009,Hontenisse,0.078323869,0.884426436,Zeeuwsch-Vlaanderen
51.858,4.705,Oud-Alblas,0.080450523,0.940458872,Zuidoost-Zuid-Holland
52.084,6.452,Ruurlo,0.080547725,0.859008594,Achterhoek
