,gemnr,volgnr,gemnaam,provnr,bjaar,ejaar,adam_code,adam_naam,adam_begin,adam_eind,cbs66,cbs,nidi,wag_code,regio,egg,corop,euclidmidx,euclidmidy,opmerking,cbs66HED,gemnaam_unique,gemnaam_Genlias,adam_sd,adam_sm,adam_sy,adam_ed,adam_em,adam_ey,studsec_1909,train_1909,popul_1909,minecorop,protestant_dummy,Christelijk.Ge_1909,Doopsgezinden_1909,Evangelisch.Lu_1909,Hersteld.Evang,Kerkelijke.gez,NederlandsHer,Nederlands.Isr,Oud.Katholieke,Overige.kerkel,Remonstranten,RoomsKatholie,Waals.Hervormd,Portugees.Isra,Gereformeerde,Geen.kerkelijk,Prot_both,Prot_all,nons,sumrel,sumall,norel,hhi,comp,inchurch,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,hhi_2
1257,538,1,Hontenisse,9,1812,1942,11123,Hontenisse,oudsher,01.01.2003,675,675,9049,9106,Zeeuws-Vlaanderen,100,31,6111,37421, ,675,Hontenisse,Hontenisse,NA,NA,0,1,1,2002,8,0,5107,Zeeuwsch-Vlaanderen,yes,3,0,0,0,0,277,0,0,10,0,4791,0,0,22,4,299,302,4,5103,5107,0.078323869,0.884426436,0.115573564,0.999216761,0.000587889,0,0,0,0,0.054281795,0,0,0.001959632,0,0.938859494,0,0,0.004311189,0.000783853,0.884426
1258,539,1,Hoofdplaat,9,1812,1942,10147,Hoofdplaat,oudsher,01.04.1970,676,676,9087,9091,Zeeuws-Vlaanderen,98,31,3331,37696, ,676,Hoofdplaat,Hoofdplaat,NA,NA,0,1,4,1970,0,0,1371,Zeeuwsch-Vlaanderen,yes,8,0,0,0,0,287,0,0,0,0,1032,0,0,26,18,313,321,18,1353,1371,1.312910284,0.627186363,0.372813637,0.986870897,0.005912786,0,0,0,0,0.212121212,0,0,0,0,0.762749446,0,0,0.019216556,0.013303769,0.627186
1259,540,1,Hulst,9,1812,1942,11408,Hulst,oudsher,heden,677,677,9056,9006,Zeeuws-Vlaanderen,100,31,6182,36706, ,677,Hulst,Hulst,NA,NA,0,NA,NA,2007,135,1,3286,Zeeuwsch-Vlaanderen,yes,2,1,0,0,0,163,2,0,1,4,3099,0,0,5,9,168,175,9,3277,3286,0.273889227,0.896793373,0.103206627,0.997261108,0.000610314,0.000305157,0,0,0,0.049740616,0.000610314,0,0.000305157,0.001220629,0.945682026,0,0,0.001525786,0.002746414,0.896793
1260,541,1,IJzendijke,9,1812,1942,10688,IJzendijke,oudsher,01.04.1970,730,730,9091,9092,Zeeuws-Vlaanderen,98,31,3064,37208, ,730,IJzendijke,IJzendijke,NA,NA,0,1,4,1970,0,0,2653,Zeeuwsch-Vlaanderen,yes,5,1,1,0,0,745,0,0,0,0,1838,0,0,50,13,795,802,13,2640,2653,0.490011308,0.564709022,0.435290978,0.995099887,0.001893939,0.000378788,0.000378788,0,0,0.28219697,0,0,0,0,0.696212121,0,0,0.018939394,0.004924242,0.564709
1261,547,1,Koewacht,9,1812,1942,10892,Koewacht,oudsher,01.04.1970,681,681,9009,9102,Zeeuws-Vlaanderen,100,31,5525,36172, ,681,Koewacht,Koewacht,NA,NA,0,1,4,1970,0,0,2584,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,25,0,0,1,0,2558,0,0,0,0,25,25,0,2584,2584,0,0.980071157,0.019928843,1,0,0,0,0,0,0.009674923,0,0,0.000386997,0,0.98993808,0,0,0,0,0.980071
1262,556,1,Nieuwvliet,9,1812,1942,11165,Nieuwvliet,oudsher,01.04.1970,690,690,9088,9004,Zeeuws-Vlaanderen,98,31,1998,37716, ,690,Nieuwvliet,Nieuwvliet,NA,NA,0,1,4,1970,0,0,496,Zeeuwsch-Vlaanderen,yes,0,0,9,0,0,449,0,0,17,0,1,0,0,9,11,458,467,11,485,496,2.217741935,0.858977575,0.141022425,0.977822581,0,0,0.018556701,0,0,0.925773196,0,0,0.035051546,0,0.002061856,0,0,0.018556701,0.022680412,0.858978
1263,560,1,Oostburg,9,1812,1942,10782,Oostburg,oudsher,01.01.2003,692,692,9083,9086,Zeeuws-Vlaanderen,98,31,2108,37244, ,692,Oostburg,Oostburg,NA,NA,0,1,1,2002,46,0,2317,Zeeuwsch-Vlaanderen,yes,12,16,4,0,0,1441,0,0,20,2,695,2,0,113,12,1554,1588,12,2305,2317,0.517911092,0.484300187,0.515699813,0.994820889,0.005206074,0.006941432,0.001735358,0,0,0.62516269,0,0,0.00867679,0.000867679,0.301518438,0.000867679,0,0.049023861,0.005206074,0.4843
1264,564,1,Ossenisse,9,1812,1936,10841,Ossenisse,oudsher,01.07.1936,1138,NA,9052,9109,Zeeuws-Vlaanderen,100,NA,5655,37753, ,1138,Ossenisse,Ossenisse,NA,NA,0,1,7,1936,0,0,886,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,29,0,0,0,0,850,0,0,7,0,36,36,0,886,886,0,0.921520619,0.078479381,1,0,0,0,0,0,0.032731377,0,0,0,0,0.959367946,0,0,0.007900677,0,0.921521
1265,567,1,Overslag,9,1812,1942,10730,Overslag,oudsher,01.04.1970,697,697,9010,9005,Zeeuws-Vlaanderen,100,31,5118,35994, ,697,Overslag,Overslag,NA,NA,0,1,4,1970,0,0,421,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,15,0,0,0,0,406,0,0,0,0,15,15,0,421,421,0,0.931280009,0.068719991,1,0,0,0,0,0,0.035629454,0,0,0,0,0.964370546,0,0,0,0,0.93128
1266,569,1,Philippine,9,1812,1942,10486,Philippine,oudsher,01.04.1970,699,699,9103,9095,Zeeuws-Vlaanderen,99,31,3862,36730, ,699,Philippine,Philippine,NA,NA,0,1,4,1970,0,0,1134,Zeeuwsch-Vlaanderen,yes,0,0,0,0,0,63,0,0,0,0,1071,0,0,0,0,63,63,0,1134,1134,0,0.895061728,0.104938272,1,0,0,0,0,0,0.055555556,0,0,0,0,0.944444444,0,0,0,0,0.895062
